datetime,origin,destination,shipment_value
2016-06-01T18:25:43.511Z,Badlands,Bajoran Wormhole,123.11
2016-06-01T19:25:43.511Z,The Gamma Quadrant,Briar Patch,32112
2016-06-12T18:25:43.511Z,Delphic Expanse, Great Barrier,234.23
2016-06-12T18:25:43.511Z,Klingon Neutral Zone, Romulan Neutral Zone,73452.98
2016-06-01T18:25:43.511Z,Sector 001, The Delta Quadrant,23124245
2016-06-01T18:25:43.511Z, The Delta Quadrant,Bajoran Wormhole,123.34
2016-06-11T19:25:43.511Z,The Gamma Quadrant,Briar Patch,345345.42
2016-06-23T18:25:43.511Z,Delphic Expanse, Great Barrier,1222
2016-06-13T18:25:43.511Z,Klingon Neutral Zone,The Gamma Quadrant,123165
2016-06-23T18:25:43.511Z,Sector 001, The Delta Quadrant,234.34
2016-06-01T18:25:43.511Z,Badlands,Bajoran Wormhole,525873
2016-06-01T19:25:43.511Z,The Gamma Quadrant,Briar Patch,3452.76
2016-06-23T18:25:43.511Z,Delphic Expanse,Badlands,5546
2016-06-23T18:25:43.511Z,Klingon Neutral Zone, Romulan Neutral Zone,45
2016-06-23T18:25:43.511Z,Sector 001, The Delta Quadrant,522
2016-06-01T18:25:43.511Z,Badlands,Bajoran Wormhole,3451
2016-06-01T19:25:43.511Z,The Gamma Quadrant,Badlands,244
2016-06-13T18:25:43.511Z,Delphic Expanse,Badlands,77632
2016-06-23T18:25:43.511Z,Klingon Neutral Zone,Badlands,2342
2016-06-13T18:25:43.511Z,Sector 001, The Delta Quadrant,311
2016-06-07T18:25:43.511Z,Briar Patch,Bajoran Wormhole,1000
2016-06-07T19:25:43.511Z,The Gamma Quadrant,Briar Patch,1100
2016-06-20T18:25:43.511Z,Delphic Expanse, Great Barrier,2000
2016-06-23T18:25:43.511Z,Klingon Neutral Zone, Romulan Neutral Zone,441
2016-06-23T18:25:43.511Z,Sector 001, The Delta Quadrant,34456
2016-06-18T18:25:43.511Z,Badlands,Briar Patch,732
2016-06-20T19:25:43.511Z,The Gamma Quadrant,Briar Patch,234
2016-06-20T18:25:43.511Z,Delphic Expanse,Briar Patch,345
2016-06-20T18:25:43.511Z,Klingon Neutral Zone,Sector 001,78
2016-06-23T18:25:43.511Z,Badlands, The Delta Quadrant,342
2016-06-01T18:25:43.511Z,Badlands,Bajoran Wormhole,44
2016-06-01T19:25:43.511Z,Badlands,Briar Patch,23234
